"Name","Price","Dividend Yield","Market Cap ($M)","Forward P/E Ratio","Payout Ratio","Beta"
"A.H. Belo Corp.","2.98","10.7","64","5.0","53.3","0.20"
"Advanced Emissions Solutions, Inc.","10.52","9.5","195","5.8","55.2","-0.20"
"AG Mortgage Investment Trust, Inc.","15.58","12.5","510","265.9","3,327.6","-0.02"
"AGNC Investment Corp.","17.62","11.7","9,530","-8.7","-102.1","-0.04"
"Altria Group, Inc.","50.83","6.4","94,957","53.6","341.9","-0.10"
"American Finance Trust, Inc.","13.36","8.2","1,426","-120.1","-989.2","-0.13"
"Annaly Capital Management, Inc.","9.55","11.5","13,657","-2.3","-26.5","-0.09"
"Apollo Commercial Real Estate Finance, Inc.","18.62","9.9","2,858","14.0","138.7","-0.09"
"Arbor Realty Trust, Inc.","14.45","7.7","1,412","10.2","78.0","-0.07"
"Archrock, Inc.","9.36","5.8","1,421","19.7","113.7","-0.04"
"Ares Commercial Real Estate Corp.","15.92","8.2","459","12.2","99.5","-0.11"
"ARMOUR Residential REIT, Inc.","17.52","12.7","1,032","-1.5","-19.3","-0.07"
"Ashford Hospitality Trust, Inc.","2.70","13.3","275","-1.5","-19.5","-0.18"
"AT&T, Inc.","38.50","5.3","281,242","17.2","91.0","0.03"
"Beasley Broadcast Group, Inc.","2.94","6.8","81","7.6","51.4","0.32"
"Berry Petroleum Corp.","9.01","5.3","729","4.1","21.9","-0.06"
"Blackstone Mortgage Trust, Inc.","37.12","6.7","4,984","15.7","104.5","-0.07"
"Blue Capital Reinsurance Holdings Ltd.","6.78","26.7","59","-2.6","-68.4","0.28"
"Bluerock Residential Growth REIT, Inc.","11.67","5.6","262","-14.2","-79.0","-0.05"
"Brandywine Realty Trust","14.90","5.1","2,619","19.2","97.8","-0.04"
"Brixmor Property Group, Inc.","20.95","5.3","6,239","21.6","115.4","0.10"
"C&J Energy Services, Inc.","7.36","13.6","486","-1.5","-21.0","0.05"
"CBL & Associates Properties, Inc.","1.05","14.3","210","-0.7","-10.6","0.21"
"Cedar Realty Trust, Inc.","2.65","7.5","235","52.8","398.4","-0.13"
"CenturyLink, Inc.","13.13","9.8","14,314","-1.8","-17.4","-0.19"
"Chatham Lodging Trust","18.18","7.3","853","41.5","301.5","-0.04"
"Cherry Hill Mortgage Investment Corp.","14.71","12.7","252","-2.5","-32.0","-0.01"
"Chesapeake Lodging Trust","27.17","5.9","1,651","17.4","102.4","0.05"
"Chico's FAS, Inc.","4.07","8.5","482","-19.4","-166.0","-0.24"
"Chimera Investment Corp.","20.82","9.6","3,896","34.9","335.1","-0.11"
"CIM Commercial Trust Corp.","14.54","8.3","212","0.6","5.3","0.04"
"City Office REIT, Inc.","12.62","7.4","688","-33.2","-247.0","0.08"
"Cohen & Co., Inc.","3.77","10.6","4","-1.3","-14.0","0.19"
"Colony Capital, Inc.","4.47","9.8","2,180","-1.4","-13.8","0.19"
"Colony Credit Real Estate, Inc.","13.86","12.6","1,781","-3.1","-38.7","-0.04"
"Consolidated Communications Holdings, Inc.","3.79","20.4","273","-9.3","-189.8","-0.15"
"CoreCivic, Inc.","16.72","10.5","1,991","10.6","110.6","-0.14"
"CorEnergy Infrastructure Trust, Inc.","43.03","7.0","582","74.4","518.9","-0.20"
"CorePoint Lodging, Inc.","10.86","7.4","622","-2.6","-19.4","-0.26"
"Covanta Holding Corp.","14.76","6.8","1,939","273.3","1,851.9","-0.12"
"Crown Crafts, Inc.","6.38","5.0","64","11.1","55.8","0.21"
"CSS Industries, Inc.","4.32","9.3","38","-0.9","-8.6","0.07"
"CVR Energy, Inc.","41.44","7.2","4,166","10.0","72.1","-0.08"
"Dean Foods Co.","0.10","29.7","9","0.0","-0.7","0.42"
"Designer Brands, Inc.","15.08","6.6","1,081","18.6","123.5","-0.26"
"Diamond Hill Investment Group, Inc.","141.99","6.3","480","10.6","67.4","-0.16"
"Dynex Capital, Inc.","17.14","12.3","393","-1.3","-16.1","0.03"
"Ellington Financial, Inc.","18.20","9.9","691","13.0","128.8","-0.10"
"Ellington Residential Mortgage REIT","11.10","11.2","138","53.2","594.7","-0.04"
"Elmira Savings Bank","15.20","6.1","52","15.3","92.3","0.20"
"Entercom Communications Corp.","5.10","5.7","701","-2.2","-12.5","-0.05"
"Entravision Communications Corp.","2.55","7.8","215","-10.6","-83.3","-0.08"
"EPR Properties","68.07","6.5","5,340","26.2","171.7","0.03"
"Equitrans Midstream Corp.","11.80","11.1","3,005","180.2","2,000.0","-0.12"
"Equity Commonwealth","31.51","11.1","3,841","7.9","88.2","-0.08"
"Evolution Petroleum Corp.","5.70","7.0","187","15.3","107.2","-0.09"
"Exantas Capital Corp.","11.95","7.1","380","12.9","91.4","-0.10"
"Extended Stay America, Inc.","14.72","6.1","3,687","35.6","217.8","0.10"
"Falcon Minerals Corp.","6.76","9.2","581","16.6","152.6","0.04"
"Ford Motor Co.","9.39","6.4","37,231","22.8","145.8","-0.01"
"GAIN Capital Holdings, Inc.","4.08","5.9","152","-4.8","-28.3","0.03"
"GameStop Corp.","6.06","6.3","399","-0.8","-5.0","-0.47"
"Gaming & Leisure Properties, Inc.","41.64","6.5","8,939","27.8","181.3","0.02"
"Gannett Co., Inc.","6.20","24.5","761","-32.2","-789.2","-0.08"
"Gap, Inc.","17.32","5.6","6,465","8.1","45.3","0.09"
"Genco Shipping & Trading Ltd.","9.66","5.2","403","-10.5","-54.1","-0.16"
"Gladstone Commercial Corp.","22.40","6.7","718","586.4","3,926.7","-0.01"
"Global Medical REIT, Inc.","13.06","6.1","611","34.8","213.0","0.08"
"Global Net Lease, Inc.","20.13","8.8","1,800","99.6","878.3","0.07"
"Global Self Storage, Inc.","4.38","5.9","33","51.6","306.2","0.12"
"Granite Point Mortgage Trust, Inc.","18.41","9.1","1,009","13.3","121.3","-0.09"
"Great Ajax Corp.","15.15","8.4","308","8.5","71.5","-0.09"
"Hallador Energy Co.","2.71","5.9","81","33.3","196.3","-0.23"
"Helmerich & Payne, Inc.","42.93","6.6","4,655","-128.7","-851.3","-0.05"
"Hersha Hospitality Trust","14.23","7.9","549","-24.0","-188.6","-0.19"
"Hospitality Properties Trust","25.28","8.4","4,157","17.1","144.1","0.70"
"Hunt Companies Finance Trust, Inc.","3.26","8.6","77","85.8","736.8","0.15"
"Independence Realty Trust, Inc.","13.79","5.2","1,265","33.5","175.1","-0.08"
"Industrial Logistics Properties Trust","20.93","6.3","1,364","23.0","145.2","-0.18"
"Innophos Holdings, Inc.","31.88","6.0","627","29.3","176.7","-0.09"
"Invesco Ltd.","18.22","6.7","8,269","15.6","104.6","-0.13"
"Invesco Mortgage Capital, Inc.","16.97","10.4","2,423","120.5","1,257.1","-0.01"
"Investors Real Estate Trust","72.44","6.8","930","","","-0.07"
"Iron Mountain, Inc.","31.39","7.8","9,013","27.0","209.9","-0.08"
"J.Jill, Inc.","0.95","121.1","41","-0.5","-57.4","-0.28"
"Janus Henderson Group Plc","24.80","5.8","4,649","11.5","66.8","0.03"
"Jernigan Capital, Inc.","18.77","7.5","417","9.7","72.5","0.04"
"KAR Auction Services, Inc.","21.71","5.7","2,795","12.2","69.9","-0.17"
"Kentucky First Federal Bancorp","7.75","5.2","64","70.9","366.0","-0.27"
"Kewaunee Scientific Corp.","13.48","5.6","37","-12.4","-69.6","-0.08"
"Kimco Realty Corp.","20.40","5.5","8,613","27.2","149.3","0.00"
"Kingstone Cos., Inc.","7.23","5.0","77","-9.4","-47.0","0.22"
"Kite Realty Group Trust","18.24","7.0","1,531","-32.5","-226.4","0.13"
"KKR Real Estate Finance Trust, Inc.","20.49","8.4","1,177","13.8","116.0","-0.10"
"Kohl's Corp.","50.46","5.2","7,900","11.6","60.0","-0.20"
"Kronos Worldwide, Inc.","13.59","5.2","1,571","15.5","80.9","-0.18"
"L Brands, Inc.","17.91","8.4","4,951","13.4","112.1","-0.11"
"Ladder Capital Corp.","17.50","7.8","2,095","17.2","133.5","-0.04"
"LSC Communications, Inc.","0.46","114.2","15","-0.1","-12.2","-0.13"
"LTC Properties, Inc.","43.75","5.2","1,739","17.6","91.7","-0.03"
"Macerich Co.","25.95","11.6","3,936","28.8","332.9","0.07"
"Macquarie Infrastructure Corp.","43.00","9.3","3,717","26.1","243.1","-0.02"
"Macy's, Inc.","16.03","9.4","4,952","5.1","48.3","0.00"
"Mammoth Energy Services, Inc.","1.59","15.7","71","1.4","22.4","0.12"
"Manhattan Bridge Capital, Inc.","6.30","7.6","60","13.7","104.4","0.13"
"Mannatech, Inc.","15.23","5.7","36","-90.9","-522.4","0.29"
"Medical Properties Trust, Inc.","19.89","5.1","10,291","24.6","125.0","-0.06"
"Mercury General Corp.","49.01","5.1","2,712","13.1","67.3","-0.06"
"Meredith Corp.","35.68","6.4","1,615","-37.5","-238.4","-0.19"
"Merrimack Pharmaceuticals, Inc.","3.60","55.5","48","-1.4","-77.1","-0.18"
